The Aga Hall Estate,The Aga Hall Estate,3,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']",8.12,1404.0,57834.76,3
Sheth Irene,Sheth Creators and Sun Vision,4,"Choose your dream home from the wide variety of 1,2,4 BHK apartments in Malad West, available for sale in Sheth Irene. Sheth Irene 's RERA registration number is P51800015507. Apartments in Sheth Irene have CARPET area ranging between 468 - 1,289 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 1.07 - 2.85 Cr","['JVLR Highway', 'Upcoming Metro Phase']",2.85,1289.0,22110.16,4
Lotus Residency,Lotus Group Mumbai,1,"Lotus Residency society now offers elegantly built 1,2 BHK apartments in Oshiwara. Apartment prices in this housing society vary in the range of Rs. 83.6 L - 9.15 Cr. Lotus Residency is a RERA- registered society and P51800006322 is the RERA registration number. Lotus Residency has apartments in multiple configurations, in range of 418.39 - 4,574.66 sq.ft.",[],9.15,457466.0,200.01,1
Lotus Residency,Lotus Group Mumbai,2,"Lotus Residency society now offers elegantly built 1,2 BHK apartments in Oshiwara. Apartment prices in this housing society vary in the range of Rs. 83.6 L - 9.15 Cr. Lotus Residency is a RERA- registered society and P51800006322 is the RERA registration number. Lotus Residency has apartments in multiple configurations, in range of 418.39 - 4,574.66 sq.ft.",[],1.35,457466.0,29.51,2
Oshi,Trident Realty,1,"Oshi society now offers elegantly built 1,2 BHK apartments in Oshiwara. This society is RERA approved and P51800002965 is the RERA number. Oshi has apartments in multiple configurations, in range of 409 - 566.16 sq.ft.. This society offers apartments in the price range of Rs. 94.07 L - 1.3 Cr",[],1.0,56616.0,176.63,1
Oshi,Trident Realty,2,"Oshi society now offers elegantly built 1,2 BHK apartments in Oshiwara. This society is RERA approved and P51800002965 is the RERA number. Oshi has apartments in multiple configurations, in range of 409 - 566.16 sq.ft.. This society offers apartments in the price range of Rs. 94.07 L - 1.3 Cr",[],1.3,56616.0,229.62,2
Universal Garden B Wing,Universal Group,1,"Check out 1,2,3,4 BHK apartments in Jogeshwari West, now available for sale at Universal Garden B Wing. Here units have different sizes, mostly in range of 599.65 - 1,576.95 sq.ft. CARPET area. This society offers apartments in the price range of Rs. 1.23 - 3.7 Cr. Universal Garden B Wing is a RERA- registered society and P51800017902 is the RERA registration number","['Oshiwara BMC School', 'City Multispeciality Hospital']",,157695.0,,1
Universal Garden B Wing,Universal Group,2,"Check out 1,2,3,4 BHK apartments in Jogeshwari West, now available for sale at Universal Garden B Wing. Here units have different sizes, mostly in range of 599.65 - 1,576.95 sq.ft. CARPET area. This society offers apartments in the price range of Rs. 1.23 - 3.7 Cr. Universal Garden B Wing is a RERA- registered society and P51800017902 is the RERA registration number","['Oshiwara BMC School', 'City Multispeciality Hospital']",1.89,157695.0,119.85,2
Universal Garden B Wing,Universal Group,3,"Check out 1,2,3,4 BHK apartments in Jogeshwari West, now available for sale at Universal Garden B Wing. Here units have different sizes, mostly in range of 599.65 - 1,576.95 sq.ft. CARPET area. This society offers apartments in the price range of Rs. 1.23 - 3.7 Cr. Universal Garden B Wing is a RERA- registered society and P51800017902 is the RERA registration number","['Oshiwara BMC School', 'City Multispeciality Hospital']",2.5,157695.0,158.53,3
Universal Garden B Wing,Universal Group,4,"Check out 1,2,3,4 BHK apartments in Jogeshwari West, now available for sale at Universal Garden B Wing. Here units have different sizes, mostly in range of 599.65 - 1,576.95 sq.ft. CARPET area. This society offers apartments in the price range of Rs. 1.23 - 3.7 Cr. Universal Garden B Wing is a RERA- registered society and P51800017902 is the RERA registration number","['Oshiwara BMC School', 'City Multispeciality Hospital']",3.7,157695.0,234.63,4
Raheja Albert Ville,Raheja Homes,2,"Here are beautifully built 2,3 BHK apartments in Chembur, available for sale at Raheja Albert Ville. This society offers apartments in the price range of Rs. 2.13 - 4.22 Cr. Raheja Albert Ville apartments are available in multiples sizes, ranging from 645 - 1,280 sq.ft. CARPET area. The property options in this society are Under Construction","['General Education Academy', 'Zen Multi Speciality Hospital']",2.13,1280.0,16640.62,2
Raheja Albert Ville,Raheja Homes,3,"Here are beautifully built 2,3 BHK apartments in Chembur, available for sale at Raheja Albert Ville. This society offers apartments in the price range of Rs. 2.13 - 4.22 Cr. Raheja Albert Ville apartments are available in multiples sizes, ranging from 645 - 1,280 sq.ft. CARPET area. The property options in this society are Under Construction","['General Education Academy', 'Zen Multi Speciality Hospital']",4.22,1280.0,32968.75,3
Samarth Reva,Samarth Erectors and Developers,1,"Beautiful 1,2 BHK apartments in Malad West, are now available in Samarth Reva housing project. Samarth Reva 's RERA registration number is P51800031028. Samarth Reva apartments are available in multiples sizes, ranging from 359 - 511 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 72 L - 1.12 Cr","['Shri Balaji International School', 'New Link Rd']",0.7461,511.0,14600.78,1
Samarth Reva,Samarth Erectors and Developers,2,"Beautiful 1,2 BHK apartments in Malad West, are now available in Samarth Reva housing project. Samarth Reva 's RERA registration number is P51800031028. Samarth Reva apartments are available in multiples sizes, ranging from 359 - 511 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 72 L - 1.12 Cr","['Shri Balaji International School', 'New Link Rd']",1.12,511.0,21917.81,2
Jadeite Nandanvan,Jadeite Developers Llp,1,"Jadeite Nandanvan, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2 BHK apartments in Kandivali West. This society offers apartments in the price range of Rs. 78.05 L. Apartments in Jadeite Nandanvan have CARPET area ranging between 461 sq.ft.. Jadeite Nandanvan is a RERA- registered society and P51800050125 is the RERA registration number","['Mumbai Airport', 'Kandivli RS']",0.7805,,,1
Jadeite Nandanvan,Jadeite Developers Llp,2,"Jadeite Nandanvan, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2 BHK apartments in Kandivali West. This society offers apartments in the price range of Rs. 78.05 L. Apartments in Jadeite Nandanvan have CARPET area ranging between 461 sq.ft.. Jadeite Nandanvan is a RERA- registered society and P51800050125 is the RERA registration number","['Mumbai Airport', 'Kandivli RS']",,,,2
DPS Nakshatra Heights,DPSPRO Dev LLP,1,"DPS Nakshatra Heights, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2,3 BHK apartments in Kandivali West. DPS Nakshatra Heights is a RERA- registered society and P51800052649 is the RERA registration number. Apartment prices in this housing society vary in the range of Rs. 1.01 - 1.59 Cr. Here units have different sizes, mostly in range of 419.04 - 661.66 sq.ft. CARPET area","['Link Road', 'Pragati School']",1.01,66166.0,152.65,1
DPS Nakshatra Heights,DPSPRO Dev LLP,2,"DPS Nakshatra Heights, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2,3 BHK apartments in Kandivali West. DPS Nakshatra Heights is a RERA- registered society and P51800052649 is the RERA registration number. Apartment prices in this housing society vary in the range of Rs. 1.01 - 1.59 Cr. Here units have different sizes, mostly in range of 419.04 - 661.66 sq.ft. CARPET area","['Link Road', 'Pragati School']",1.59,66166.0,240.3,2
DPS Nakshatra Heights,DPSPRO Dev LLP,3,"DPS Nakshatra Heights, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2,3 BHK apartments in Kandivali West. DPS Nakshatra Heights is a RERA- registered society and P51800052649 is the RERA registration number. Apartment prices in this housing society vary in the range of Rs. 1.01 - 1.59 Cr. Here units have different sizes, mostly in range of 419.04 - 661.66 sq.ft. CARPET area","['Link Road', 'Pragati School']",,66166.0,,3
Emporio Towers,Sangam Developers Kandivali,1,"Check out 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Emporio Towers, one of the best offerings in Charkop. Property options in Emporio Towers varies between 433 - 715 sq.ft.. Yoga/Meditation Area, Sewage Treatment Plant and Jogging Track are some of the popular amenities offered in this project. Emporio Towers is a New Launch project","['Kanjur Marg Railway Station', 'IIT Powai']",1.05,715.0,14685.31,1
Emporio Towers,Sangam Developers Kandivali,2,"Check out 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Emporio Towers, one of the best offerings in Charkop. Property options in Emporio Towers varies between 433 - 715 sq.ft.. Yoga/Meditation Area, Sewage Treatment Plant and Jogging Track are some of the popular amenities offered in this project. Emporio Towers is a New Launch project","['Kanjur Marg Railway Station', 'IIT Powai']",1.75,715.0,24475.52,2
Emporio Towers,Sangam Developers Kandivali,3,"Check out 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Emporio Towers, one of the best offerings in Charkop. Property options in Emporio Towers varies between 433 - 715 sq.ft.. Yoga/Meditation Area, Sewage Treatment Plant and Jogging Track are some of the popular amenities offered in this project. Emporio Towers is a New Launch project","['Kanjur Marg Railway Station', 'IIT Powai']",,715.0,,3
Emporio Towers,Sangam Developers Kandivali,1,"Check out 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Emporio Towers, one of the best offerings in Charkop. Property options in Emporio Towers varies between 433 - 715 sq.ft.. Yoga/Meditation Area, Sewage Treatment Plant and Jogging Track are some of the popular amenities offered in this project. Emporio Towers is a New Launch project","['Kanjur Marg Railway Station', 'IIT Powai']",,715.0,,1
Arkade Earth,Arkade,1,"Arkade Earth, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2 BHK apartments in Kanjurmarg East. This society is RERA approved and P51800004750 is the RERA number. This society offers apartments in the price range of Rs. 1.7 - 2.48 Cr. Apartments in Arkade Earth have CARPET area ranging between 538 - 784 sq.ft.","['Gated Society', 'Overlooking Park/Garden']",,784.0,,1
Arkade Earth,Arkade,2,"Arkade Earth, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2 BHK apartments in Kanjurmarg East. This society is RERA approved and P51800004750 is the RERA number. This society offers apartments in the price range of Rs. 1.7 - 2.48 Cr. Apartments in Arkade Earth have CARPET area ranging between 538 - 784 sq.ft.","['Gated Society', 'Overlooking Park/Garden']",2.48,784.0,31632.65,2
Ameet Jai Kamal,Ameet Infra,1,"Check out 1,2 BHK apartments in Deonar, now available for sale at Ameet Jai Kamal. Ameet Jai Kamal 's RERA registration number is P51800052049. Here units have different sizes, mostly in range of 390.08 - 664.67 sq.ft. CARPET area. The apartments here are New Launch",['East Facing'],,66467.0,,1
Ameet Jai Kamal,Ameet Infra,2,"Check out 1,2 BHK apartments in Deonar, now available for sale at Ameet Jai Kamal. Ameet Jai Kamal 's RERA registration number is P51800052049. Here units have different sizes, mostly in range of 390.08 - 664.67 sq.ft. CARPET area. The apartments here are New Launch",['East Facing'],,66467.0,,2
Aayush Ayaansh,Aayush Developers Mumbai,2,"Check out 2,3 BHK apartments in Chembur East, now available for sale at Aayush Ayaansh. Aayush Ayaansh 's RERA registration number is P51800051964. The apartments here are New Launch","['North-East Facing', 'Gated Society']",,,,2
Aayush Ayaansh,Aayush Developers Mumbai,3,"Check out 2,3 BHK apartments in Chembur East, now available for sale at Aayush Ayaansh. Aayush Ayaansh 's RERA registration number is P51800051964. The apartments here are New Launch","['North-East Facing', 'Gated Society']",,,,3
81 Aureate,MJ Shah Group,4,"81 Aureate society now offers elegantly built 4,5 BHK apartments in Bandra West. This society offers apartments in the price range of Rs. 11.99 - 37 Cr. 81 Aureate is a RERA- registered society and P51800010171 is the RERA registration number. Apartments in 81 Aureate have CARPET area ranging between 3,200 - 32,258.06 sq.ft.","['Top Floor', 'Gated Society']",37.0,3225806.0,114.7,4
81 Aureate,MJ Shah Group,5,"81 Aureate society now offers elegantly built 4,5 BHK apartments in Bandra West. This society offers apartments in the price range of Rs. 11.99 - 37 Cr. 81 Aureate is a RERA- registered society and P51800010171 is the RERA registration number. Apartments in 81 Aureate have CARPET area ranging between 3,200 - 32,258.06 sq.ft.","['Top Floor', 'Gated Society']",11.99,3225806.0,37.17,5
S Raheja Fairfield,S Raheja Realty,2,"S Raheja Fairfield society now offers elegantly built 2,3,4 BHK apartments in Santacruz West. This society offers apartments in the price range of Rs. 8.01 - 18.32 Cr. This society is RERA approved and P51800050212 is the RERA number. S Raheja Fairfield has apartments in multiple configurations, in range of 1,232 - 2,819 sq.ft.","['East Facing', 'Full Power Backup']",,2819.0,,2
S Raheja Fairfield,S Raheja Realty,3,"S Raheja Fairfield society now offers elegantly built 2,3,4 BHK apartments in Santacruz West. This society offers apartments in the price range of Rs. 8.01 - 18.32 Cr. This society is RERA approved and P51800050212 is the RERA number. S Raheja Fairfield has apartments in multiple configurations, in range of 1,232 - 2,819 sq.ft.","['East Facing', 'Full Power Backup']",8.01,2819.0,28414.33,3
S Raheja Fairfield,S Raheja Realty,4,"S Raheja Fairfield society now offers elegantly built 2,3,4 BHK apartments in Santacruz West. This society offers apartments in the price range of Rs. 8.01 - 18.32 Cr. This society is RERA approved and P51800050212 is the RERA number. S Raheja Fairfield has apartments in multiple configurations, in range of 1,232 - 2,819 sq.ft.","['East Facing', 'Full Power Backup']",18.32,2819.0,64987.58,4
Mayur Tower,Geopreneur Spire Realty,2,"Mayur Tower society now offers elegantly built 2 BHK apartments in Bandra East. Apartments in this complex are available in price range of Rs. 2.1 Cr. Mayur Tower apartments are available in multiples sizes, ranging from 780 sq.ft. CARPET area. Mayur Tower is a RERA- registered society and P51800011901 is the RERA registration number",['Rain Water Harvesting'],2.1,,,2
JPV Pratap Legacy,JPV Realtors,2,"JPV Pratap Legacy society now offers elegantly built 2,3 BHK apartments in Vile Parle West. Apartments in this complex are available in price range of Rs. 3.01 - 4.65 Cr. The housing society is RERA-registered with P51800052555 registration number. Apartments in JPV Pratap Legacy have CARPET area ranging between 627.97 - 968.97 sq.ft.","['Close to Metro Station', 'Close to School']",3.62,96897.0,373.59,2
JPV Pratap Legacy,JPV Realtors,3,"JPV Pratap Legacy society now offers elegantly built 2,3 BHK apartments in Vile Parle West. Apartments in this complex are available in price range of Rs. 3.01 - 4.65 Cr. The housing society is RERA-registered with P51800052555 registration number. Apartments in JPV Pratap Legacy have CARPET area ranging between 627.97 - 968.97 sq.ft.","['Close to Metro Station', 'Close to School']",4.65,96897.0,479.89,3
Sahakar Avenue,Sahakar Corporation,1,"Sahakar Avenue society now offers elegantly built 1,2 BHK apartments in Malad West. This society is RERA approved and P51800003995 is the RERA number. Prices of apartments in this project, vary between Rs. 1.71 - 2.22 Cr. Apartments in Sahakar Avenue have CARPET area ranging between 586 - 764 sq.ft.","['East Facing', 'Private Garden']",,764.0,,1
Sahakar Avenue,Sahakar Corporation,2,"Sahakar Avenue society now offers elegantly built 1,2 BHK apartments in Malad West. This society is RERA approved and P51800003995 is the RERA number. Prices of apartments in this project, vary between Rs. 1.71 - 2.22 Cr. Apartments in Sahakar Avenue have CARPET area ranging between 586 - 764 sq.ft.","['East Facing', 'Private Garden']",2.22,764.0,29057.59,2
Kalpataru Matru Ashish,Kalpataru Limited,3,"Check out 3,4 BHK apartments in Matunga, now available for sale at Kalpataru Matru Ashish. Kalpataru Matru Ashish 's RERA registration number is P51900019426. Kalpataru Matru Ashish apartments are available in multiples sizes, ranging from 1,613 sq.ft. CARPET area. This society offers apartments in the price range of Rs. 9.61 Cr","['Matunga central railway station', 'Eastern Express Highway']",9.61,,,3
Kalpataru Matru Ashish,Kalpataru Limited,4,"Check out 3,4 BHK apartments in Matunga, now available for sale at Kalpataru Matru Ashish. Kalpataru Matru Ashish 's RERA registration number is P51900019426. Kalpataru Matru Ashish apartments are available in multiples sizes, ranging from 1,613 sq.ft. CARPET area. This society offers apartments in the price range of Rs. 9.61 Cr","['Matunga central railway station', 'Eastern Express Highway']",,,,4
Dynamix Avanya,Dynamix Group,1,"Beautiful 1,2 BHK apartments in Dahisar East, are now available in Dynamix Avanya housing project. The housing society is RERA-registered with P51800003202 registration number. Dynamix Avanya apartments are available in multiples sizes, ranging from 381.29 - 6,645.16 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 95 L - 1.62 Cr","['Private Garden', 'Close to Metro Station']",1.13,664516.0,17.0,1
Dynamix Avanya,Dynamix Group,2,"Beautiful 1,2 BHK apartments in Dahisar East, are now available in Dynamix Avanya housing project. The housing society is RERA-registered with P51800003202 registration number. Dynamix Avanya apartments are available in multiples sizes, ranging from 381.29 - 6,645.16 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 95 L - 1.62 Cr","['Private Garden', 'Close to Metro Station']",1.62,664516.0,24.38,2
Shraddha Elite,Shraddha Developers and Realtors,2,"Here are beautifully built 2,3 BHK apartments in Borivali West, available for sale at Shraddha Elite. The housing society is RERA-registered with P51800045452 registration number. Shraddha Elite apartments are available in multiples sizes, ranging from 968 sq.ft. CARPET area. The apartments here are New Launch","['Fitness Center/ Gym', 'Club/ Community Center']",,,,2
Shraddha Elite,Shraddha Developers and Realtors,3,"Here are beautifully built 2,3 BHK apartments in Borivali West, available for sale at Shraddha Elite. The housing society is RERA-registered with P51800045452 registration number. Shraddha Elite apartments are available in multiples sizes, ranging from 968 sq.ft. CARPET area. The apartments here are New Launch","['Fitness Center/ Gym', 'Club/ Community Center']",,,,3
Sayba Heritage,Sayba Group,1,"Sayba Heritage society now offers elegantly built 1,2 BHK apartments in Nehru Nagar. The housing society is RERA-registered with P51800033318 registration number. Sayba Heritage apartments are available in multiples sizes, ranging from 365 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 79 L","['Trauma Hospital', 'The Hub Mall']",0.79,,,1
Sayba Heritage,Sayba Group,2,"Sayba Heritage society now offers elegantly built 1,2 BHK apartments in Nehru Nagar. The housing society is RERA-registered with P51800033318 registration number. Sayba Heritage apartments are available in multiples sizes, ranging from 365 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 79 L","['Trauma Hospital', 'The Hub Mall']",,,,2
Shree Krushna Tower,Shree Akshay Housing,1,"Spacious 1,2 BHK apartments in Mulund West are available for sale.Check out latest property options at Shree Krushna Tower housing society. Apartment prices in this housing society vary in the range of Rs. 1.64 Cr. Shree Krushna Tower is a RERA- registered society and P51800022998 is the RERA registration number. Shree Krushna Tower apartments are available in multiples sizes, ranging from 585 sq.ft. CARPET area","['North-East Facing', 'Gated Society']",,,,1
Shree Krushna Tower,Shree Akshay Housing,2,"Spacious 1,2 BHK apartments in Mulund West are available for sale.Check out latest property options at Shree Krushna Tower housing society. Apartment prices in this housing society vary in the range of Rs. 1.64 Cr. Shree Krushna Tower is a RERA- registered society and P51800022998 is the RERA registration number. Shree Krushna Tower apartments are available in multiples sizes, ranging from 585 sq.ft. CARPET area","['North-East Facing', 'Gated Society']",1.64,,,2
Sayba Elegant,Sayba Group,1,"Check out 1,2 BHK apartments in Kurla East, now available for sale at Sayba Elegant. Apartments in Sayba Elegant have CARPET area ranging between 411 - 518 sq.ft.. Sayba Elegant is a RERA- registered society and P51800051973 is the RERA registration number. Apartments in this complex are available in price range of Rs. 92.48 L - 1.17 Cr","['Vivekanand English High School', 'Eastern Express Highway']",0.9248,518.0,17853.28,1
Sayba Elegant,Sayba Group,2,"Check out 1,2 BHK apartments in Kurla East, now available for sale at Sayba Elegant. Apartments in Sayba Elegant have CARPET area ranging between 411 - 518 sq.ft.. Sayba Elegant is a RERA- registered society and P51800051973 is the RERA registration number. Apartments in this complex are available in price range of Rs. 92.48 L - 1.17 Cr","['Vivekanand English High School', 'Eastern Express Highway']",1.17,518.0,22586.87,2
Advait Bliss,Advait Builders and Developers,1,"Here are beautifully built 1,2 BHK apartments in Kurla East, available for sale at Advait Bliss. Advait Bliss is a RERA- registered society and P51800048293 is the RERA registration number. Prices of apartments in this project, vary between Rs. 87.4 L - 1.35 Cr. Advait Bliss has apartments in multiple configurations, in range of 380.4 - 587.39 sq.ft.","['Chintamani Hospital', 'Sushrut Hospital & Research Centre']",0.874,58739.0,148.79,1
Advait Bliss,Advait Builders and Developers,2,"Here are beautifully built 1,2 BHK apartments in Kurla East, available for sale at Advait Bliss. Advait Bliss is a RERA- registered society and P51800048293 is the RERA registration number. Prices of apartments in this project, vary between Rs. 87.4 L - 1.35 Cr. Advait Bliss has apartments in multiple configurations, in range of 380.4 - 587.39 sq.ft.","['Chintamani Hospital', 'Sushrut Hospital & Research Centre']",1.35,58739.0,229.83,2
Ekdanta 24 Karat,Ekdanta Constructions and Developers,1,"Check out 1,2 BHK apartments in Kurla East, now available for sale at Ekdanta 24 Karat. Apartment prices in this housing society vary in the range of Rs. 98.7 L - 1.32 Cr. The housing society is RERA-registered with P51800034572 registration number. Ekdanta 24 Karat apartments are available in multiples sizes, ranging from 447 - 598 sq.ft. CARPET area","['Aryan Hospital & Medical Centre', ""Kedarnath vidya prasarini's School""]",0.987,598.0,16505.02,1
Ekdanta 24 Karat,Ekdanta Constructions and Developers,2,"Check out 1,2 BHK apartments in Kurla East, now available for sale at Ekdanta 24 Karat. Apartment prices in this housing society vary in the range of Rs. 98.7 L - 1.32 Cr. The housing society is RERA-registered with P51800034572 registration number. Ekdanta 24 Karat apartments are available in multiples sizes, ranging from 447 - 598 sq.ft. CARPET area","['Aryan Hospital & Medical Centre', ""Kedarnath vidya prasarini's School""]",1.32,598.0,22073.58,2
DP Star,DP Build Homes,1,"Check out 1,2 BHK apartments in Bhandup West, now available for sale at DP Star. This society offers apartments in the price range of Rs. 82.3 L - 1.38 Cr. DP Star is a RERA- registered society and P51800003937 is the RERA registration number. Here units have different sizes, mostly in range of 365 - 600 sq.ft. CARPET area","['Datta Mandir Rd', 'Nahur Railway Station']",0.823,600.0,13716.67,1
DP Star,DP Build Homes,2,"Check out 1,2 BHK apartments in Bhandup West, now available for sale at DP Star. This society offers apartments in the price range of Rs. 82.3 L - 1.38 Cr. DP Star is a RERA- registered society and P51800003937 is the RERA registration number. Here units have different sizes, mostly in range of 365 - 600 sq.ft. CARPET area","['Datta Mandir Rd', 'Nahur Railway Station']",1.38,600.0,23000.0,2
Raghav Marvel,Raghav Raj Builders,1,"Looking for your dream home? Explore 1,2 BHK apartments in Nehru Nagar, now available in Raghav Marvel. Raghav Marvel is a RERA- registered society and P51800045396 is the RERA registration number. Apartments are Under Construction in this project","['Fortis Hospital Mulund', 'Avior Corporate Park']",,,,1
Raghav Marvel,Raghav Raj Builders,2,"Looking for your dream home? Explore 1,2 BHK apartments in Nehru Nagar, now available in Raghav Marvel. Raghav Marvel is a RERA- registered society and P51800045396 is the RERA registration number. Apartments are Under Construction in this project","['Fortis Hospital Mulund', 'Avior Corporate Park']",,,,2
Raghav One,Raghav Raj Builders,1,"Here are beautifully built 1,2 BHK apartments in Nehru Nagar, available for sale at Raghav One. Raghav One has apartments in multiple configurations, in range of 364.57 - 628.83 sq.ft.. Apartments in this complex are available in price range of Rs. 1.16 - 2.01 Cr. Raghav One 's RERA registration number is P51800020496","['St Paul University', 'Ghatkopar Metro Station']",1.19,62883.0,189.24,1
Raghav One,Raghav Raj Builders,2,"Here are beautifully built 1,2 BHK apartments in Nehru Nagar, available for sale at Raghav One. Raghav One has apartments in multiple configurations, in range of 364.57 - 628.83 sq.ft.. Apartments in this complex are available in price range of Rs. 1.16 - 2.01 Cr. Raghav One 's RERA registration number is P51800020496","['St Paul University', 'Ghatkopar Metro Station']",2.01,62883.0,319.64,2
GHP Woodland,GHP Group,1,"Choose your dream home from the wide variety of 1,2 BHK apartments in Mulund West, available for sale in GHP Woodland. Prices of apartments in this project, vary between Rs. 1.35 - 2.05 Cr. GHP Woodland is a RERA- registered society and P51800034164 is the RERA registration number. GHP Woodland apartments are available in multiples sizes, ranging from 435 - 716 sq.ft. CARPET area","['Yogi Hills', 'Checknaka Metro Station']",1.35,716.0,18854.75,1
GHP Woodland,GHP Group,2,"Choose your dream home from the wide variety of 1,2 BHK apartments in Mulund West, available for sale in GHP Woodland. Prices of apartments in this project, vary between Rs. 1.35 - 2.05 Cr. GHP Woodland is a RERA- registered society and P51800034164 is the RERA registration number. GHP Woodland apartments are available in multiples sizes, ranging from 435 - 716 sq.ft. CARPET area","['Yogi Hills', 'Checknaka Metro Station']",2.05,716.0,28631.28,2
Sheth Vasant Oscar,Ashwin Sheth Group,2,"Choose your dream home from the wide variety of 2,3 BHK apartments in Mulund West, available for sale in Sheth Vasant Oscar. Apartments in this complex are available in price range of Rs. 1.8 - 2.87 Cr. Here units have different sizes, mostly in range of 960 - 1,400 sq.ft. SUPER area. Apartments at Sheth Vasant Oscar is currently Ready To Move","['Vivekanand English High School', 'Eastern Express Highway']",1.8,1400.0,12857.14,2
Sheth Vasant Oscar,Ashwin Sheth Group,3,"Choose your dream home from the wide variety of 2,3 BHK apartments in Mulund West, available for sale in Sheth Vasant Oscar. Apartments in this complex are available in price range of Rs. 1.8 - 2.87 Cr. Here units have different sizes, mostly in range of 960 - 1,400 sq.ft. SUPER area. Apartments at Sheth Vasant Oscar is currently Ready To Move","['Vivekanand English High School', 'Eastern Express Highway']",2.87,1400.0,20500.0,3
Drushti Sapphire,Drushti Group,1,"Drushti Sapphire, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3 BHK apartments in Ghatkopar East. This society offers apartments in the price range of Rs. 1.38 - 3.07 Cr. Drushti Sapphire is a RERA- registered society and P51800032434 is the RERA registration number. Apartments in Drushti Sapphire have CARPET area ranging between 395.04 - 877.58 sq.ft.","['Chintamani Hospital', 'Eastern Express Highway']",1.38,87758.0,157.25,1
Drushti Sapphire,Drushti Group,2,"Drushti Sapphire, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3 BHK apartments in Ghatkopar East. This society offers apartments in the price range of Rs. 1.38 - 3.07 Cr. Drushti Sapphire is a RERA- registered society and P51800032434 is the RERA registration number. Apartments in Drushti Sapphire have CARPET area ranging between 395.04 - 877.58 sq.ft.","['Chintamani Hospital', 'Eastern Express Highway']",1.91,87758.0,217.64,2
Drushti Sapphire,Drushti Group,3,"Drushti Sapphire, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3 BHK apartments in Ghatkopar East. This society offers apartments in the price range of Rs. 1.38 - 3.07 Cr. Drushti Sapphire is a RERA- registered society and P51800032434 is the RERA registration number. Apartments in Drushti Sapphire have CARPET area ranging between 395.04 - 877.58 sq.ft.","['Chintamani Hospital', 'Eastern Express Highway']",3.07,87758.0,349.83,3
Gagan 139,Sayba Group,1,"Check out 1,2,3 BHK apartments in Kurla East, now available for sale at Gagan 139. Here units have different sizes, mostly in range of 400 - 769 sq.ft. CARPET area. This society is RERA approved and P51800029662 is the RERA number. Apartments in this complex are available in price range of Rs. 90 L - 1.71 Cr","['Kanjur Marg Railway Station', 'Orchids The Intl School, Vikhroli']",0.9,769.0,11703.51,1
Gagan 139,Sayba Group,2,"Check out 1,2,3 BHK apartments in Kurla East, now available for sale at Gagan 139. Here units have different sizes, mostly in range of 400 - 769 sq.ft. CARPET area. This society is RERA approved and P51800029662 is the RERA number. Apartments in this complex are available in price range of Rs. 90 L - 1.71 Cr","['Kanjur Marg Railway Station', 'Orchids The Intl School, Vikhroli']",1.2,769.0,15604.68,2
Gagan 139,Sayba Group,3,"Check out 1,2,3 BHK apartments in Kurla East, now available for sale at Gagan 139. Here units have different sizes, mostly in range of 400 - 769 sq.ft. CARPET area. This society is RERA approved and P51800029662 is the RERA number. Apartments in this complex are available in price range of Rs. 90 L - 1.71 Cr","['Kanjur Marg Railway Station', 'Orchids The Intl School, Vikhroli']",1.71,769.0,22236.67,3
Ashar Maple,Ashar,1,"Beautiful 1,2 BHK apartments in Vaishali Nagar, are now available in Ashar Maple housing project. Ashar Maple 's RERA registration number is P51800023941. Apartment prices in this housing society vary in the range of Rs. 1.27 - 2.46 Cr. Ashar Maple has apartments in multiple configurations, in range of 424 - 683 sq.ft.",[],1.64,683.0,24011.71,1
